#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
23.710789,40,12.697927
12.224561,40,12.704902
2.783185,40,12.711708
21.810789,40,12.718494
23.810789,40,12.725255
12.326198,40,12.73201
23.510789,40,12.738809
13.924561,40,12.745788
23.710789,40,12.752839
4.107193,40,12.75996
-1.904306,40,12.767109
13.424561,40,12.774572
23.217507,40,12.78172
13.124561,40,12.788644
23.017507,40,12.795537
23.710789,40,12.802618
24.210789,40,12.809809
23.010789,40,12.816768
3.378338,40,12.823913
-6.327144,40,12.830946
-3.924586,40,12.837927
-4.69853,40,12.844882
23.510789,40,12.851876
13.824561,40,12.858863
2.232367,40,12.865945
-1.217702,40,12.872884
23.710789,40,12.879907
-4.321625,40,12.886953
11.924561,40,12.893997
11.824561,40,12.901047
13.424561,40,12.908972
13.824561,40,12.916303
-8.075629,40,12.923684
3.607193,40,12.930928
4.178338,40,12.938071
22.717507,40,12.945318
13.926198,40,12.95214
13.824561,40,12.95914
-6.197333,40,12.965921
-4.424586,40,12.972765
23.010789,40,12.979689
2.067443,40,12.986939
-2.137373,40,12.994094
24.517507,40,13.001615
1.332503,40,13.008888
-8.531336,40,13.015786
22.810789,40,13.353862
23.710789,40,13.361391
13.326198,40,13.368754
24.517507,40,13.375954
4.178338,40,13.38307
12.524561,40,13.390472
22.710789,40,13.397572
23.017507,40,13.404427
22.310789,40,13.411347
-0.7406,40,13.418648
13.424561,40,13.425741
13.924561,40,13.432706
22.910789,40,13.439683
13.424561,40,13.44664
13.024561,40,13.453591
12.626198,40,13.460578
20.017507,40,13.467538
1.706416,40,13.474553
21.210789,40,13.48166
3.007193,40,13.488776
-3.80826,40,13.495744
3.378338,40,13.502679
12.626198,40,13.509671
3.082467,40,13.516732
-0.417441,40,13.523934
23.710789,40,13.530918
22.617507,40,13.538037
9.524561,40,13.545091
23.217507,40,13.553912
4.178338,40,13.561296
3.878338,40,13.568717
23.710789,40,13.5757
-9.529767,40,13.582496
1.261734,40,13.58946
-2.24499,40,13.596172
23.517507,40,13.60286
12.424561,40,13.609534
12.026198,40,13.616305
13.126198,40,13.623424
3.578338,40,13.630664
11.524561,40,13.638061
22.810789,40,13.645288
3.607193,40,13.652531
4.607193,40,13.660003
3.078338,40,13.667273
13.226198,40,13.674414
13.926198,40,13.68146
2.092145,40,13.688527
23.710789,40,13.695529
23.510789,40,13.702594
22.710789,40,13.709798
23.710789,40,13.71696
23.510789,40,14.05658
12.524561,40,14.063878
13.324561,40,14.071028
24.317507,40,14.078044
-2.214227,40,14.085017
12.524561,40,14.09195
12.524561,40,14.099093
11.424561,40,14.106062
-1.42334,40,14.112969
-1.937373,40,14.119947
13.326198,40,14.126947
13.926198,40,14.13395
13.424561,40,14.141552
3.807193,40,14.148773
10.924561,40,14.156408
2.130658,40,14.163441
21.910789,40,14.170421
13.824561,40,14.177968
23.010789,40,14.185195
22.310789,40,14.192243
13.824561,40,14.199225
12.626198,40,14.206214
23.710789,40,14.214686
-0.943711,40,14.222061
3.507193,40,14.229251
21.710789,40,14.236515
24.317507,40,14.243588
13.424561,40,14.25117
13.424561,40,14.258487
23.817507,40,14.26561
2.225483,40,14.272433
4.307193,40,14.279284
12.524561,40,14.286414
11.324561,40,14.293509
-1.593089,40,14.300553
23.817507,40,14.307631
2.728985,40,14.314591
3.007193,40,14.321649
2.807193,40,14.328774
12.524561,40,14.335929
13.726198,40,14.343129
2.507193,40,14.350107
12.524561,40,14.35713
4.178338,40,14.364195
12.624561,40,14.371259
11.826198,40,14.378708
12.126198,40,14.386219
12.926198,40,14.393361
12.924561,40,14.400184
2.607193,40,14.407073
13.326198,40,14.413943
4.078338,40,14.750935
0.597319,40,14.759053
21.310789,40,14.766963
0.624539,40,14.77455
4.007193,40,14.782323
4.078338,40,14.789747
23.410789,40,14.797082
12.424561,40,14.804474
3.378338,40,14.812226
13.824561,40,14.820932
25.710789,40,14.82958
23.710789,40,14.837149
1.375814,40,14.844523
23.010789,40,14.851869
13.324561,40,14.859424
13.324561,40,14.867091
13.326198,40,14.87437
12.824561,40,14.882185
12.124561,40,14.889464
23.110789,40,14.896534
0.28304,40,14.903429
22.210789,40,14.910608
22.517507,40,14.917754
21.810789,40,14.924868
24.310789,40,14.932377
12.924561,40,14.939794
19.310789,40,14.946868
-32.368292,40,14.95446
0.984209,40,14.961722
4.007193,40,14.968991
23.817507,40,14.976163
12.926198,40,14.983442
23.117507,40,14.990649
2.188254,40,14.997687
22.510789,40,15.004783
4.107193,40,15.011873
3.507193,40,15.019835
-1.694596,40,15.027192
4.007193,40,15.034423
23.817507,40,15.0417
4.607193,40,15.049028
-0.162149,40,15.056691
3.307193,40,15.063674
23.710789,40,15.071067
23.710789,40,15.078534
12.824561,40,15.08635
24.517507,40,15.094007
12.024561,40,15.101383
19.110789,40,15.108754
4.178338,40,15.11588
